CreditStatus,DurationMonth,CreditHistory,Purpose,CreditAmount,InstallmentRate,Age,OtherInstallmentPlans,Housing,NumExistingCredits,Job
1,24,A34,A410,6314,4,27,A141,A152,2,A174
1,30,A31,A42,3496,4,34,A142,A152,1,A173
1,48,A31,A49,3609,1,27,A142,A152,1,A173
2,12,A34,A40,4843,3,43,A143,A151,2,A173
1,30,A34,A43,3017,4,47,A143,A152,1,A173
1,24,A34,A49,4139,3,27,A143,A152,2,A172
1,36,A32,A49,5742,2,31,A143,A152,2,A173
1,60,A32,A40,10366,2,42,A143,A152,1,A174
1,6,A34,A40,2080,1,24,A143,A152,1,A173
2,21,A33,A49,2580,4,41,A141,A152,1,A172
1,30,A34,A43,4530,4,26,A143,A151,1,A174
1,24,A34,A42,5150,4,33,A143,A152,1,A173
2,72,A32,A43,5595,2,24,A143,A152,1,A173
1,24,A32,A43,2384,4,64,A141,A151,1,A172
1,18,A32,A43,1453,3,26,A143,A152,1,A173
1,6,A32,A46,1538,1,56,A143,A152,1,A173
1,12,A32,A43,2279,4,37,A143,A153,1,A173
1,15,A33,A43,1478,4,33,A141,A152,2,A173
1,24,A34,A43,5103,3,47,A143,A153,3,A173
1,36,A33,A49,9857,1,31,A143,A152,2,A172
1,60,A32,A40,6527,4,34,A143,A153,1,A173
1,10,A34,A43,1347,4,27,A143,A152,2,A173
1,36,A33,A40,2862,4,30,A143,A153,1,A173
1,9,A32,A43,2753,3,35,A143,A152,1,A173
1,12,A32,A40,3651,1,31,A143,A152,1,A173
1,15,A34,A42,975,2,25,A143,A152,2,A173
1,15,A32,A45,2631,3,25,A143,A152,1,A172
1,24,A32,A43,2896,2,29,A143,A152,1,A173
1,6,A34,A40,4716,1,44,A143,A152,2,A172
1,24,A32,A43,2284,4,28,A143,A152,1,A173
1,6,A32,A41,1236,2,50,A143,A151,1,A173
1,12,A32,A43,1103,4,29,A143,A152,2,A173
1,12,A34,A40,926,1,38,A143,A152,1,A171
1,18,A34,A43,1800,4,24,A143,A152,2,A173
1,15,A32,A46,1905,4,40,A143,A151,1,A174
2,12,A32,A42,1123,4,29,A143,A151,1,A172
2,48,A34,A41,6331,4,46,A143,A153,2,A173
1,24,A32,A43,1377,4,47,A143,A153,1,A173
1,30,A33,A49,2503,4,41,A142,A152,2,A173
1,27,A32,A49,2528,4,32,A143,A152,1,A173
1,15,A32,A40,5324,1,35,A143,A153,1,A173
2,48,A32,A40,6560,3,24,A143,A152,1,A173
2,12,A30,A42,2969,4,25,A143,A151,2,A173
1,9,A32,A43,1206,4,25,A143,A152,1,A173
1,9,A32,A43,2118,2,37,A143,A152,1,A172
1,18,A34,A43,629,4,32,A141,A152,2,A174
2,6,A31,A46,1198,4,35,A143,A153,1,A173
1,21,A32,A41,2476,4,46,A143,A152,1,A174
1,9,A34,A43,1138,4,25,A143,A152,2,A172
2,60,A32,A40,14027,4,27,A143,A152,1,A174
1,30,A34,A41,7596,1,63,A143,A152,2,A173
1,30,A34,A43,3077,3,40,A143,A152,2,A173
1,18,A32,A43,1505,4,32,A143,A153,1,A174
1,24,A34,A43,3148,3,31,A143,A152,2,A173
1,20,A30,A41,6148,3,31,A141,A152,2,A173
2,9,A30,A43,1337,4,34,A143,A152,2,A174
2,6,A31,A46,433,4,24,A141,A151,1,A173
2,12,A32,A40,1228,4,24,A143,A152,1,A172
1,9,A32,A43,790,4,66,A143,A152,1,A172
2,27,A32,A40,2570,3,21,A143,A151,1,A173
1,6,A34,A40,250,2,41,A141,A152,2,A172
1,15,A34,A43,1316,2,47,A143,A152,2,A172
2,18,A32,A43,1882,4,25,A141,A151,2,A173
2,48,A31,A49,6416,4,59,A143,A151,1,A173
1,24,A34,A49,1275,2,36,A143,A152,2,A173
1,24,A33,A43,6403,1,33,A143,A152,1,A173
2,24,A32,A43,1987,2,21,A143,A151,1,A172
1,8,A32,A43,760,4,44,A143,A152,1,A172
1,24,A32,A41,2603,2,28,A143,A151,1,A173
1,4,A34,A40,3380,1,37,A143,A152,1,A173
1,36,A31,A44,3990,3,29,A141,A152,1,A171
2,24,A32,A41,11560,1,23,A143,A151,2,A174
1,18,A32,A40,4380,3,35,A143,A152,1,A172
1,6,A34,A40,6761,1,45,A143,A152,2,A174
2,30,A30,A49,4280,4,26,A143,A151,2,A172
1,24,A31,A40,2325,2,32,A141,A152,1,A173
1,10,A31,A43,1048,4,23,A142,A152,1,A172
1,21,A32,A43,3160,4,41,A143,A152,1,A173
1,24,A31,A42,2483,4,22,A142,A152,1,A173
1,39,A34,A42,14179,4,30,A143,A152,2,A174
1,13,A34,A49,1797,3,28,A141,A152,2,A172
1,15,A32,A40,2511,1,23,A143,A151,1,A173
2,12,A32,A40,1274,3,37,A143,A152,1,A172
1,21,A32,A41,5248,1,26,A143,A152,1,A173
1,15,A32,A41,3029,2,33,A143,A152,1,A173
1,6,A32,A42,428,2,49,A141,A152,1,A173
2,18,A32,A40,976,1,23,A143,A152,1,A172
1,12,A32,A49,841,2,23,A143,A151,1,A172
1,30,A34,A43,5771,4,25,A143,A152,2,A173
2,12,A33,A45,1555,4,55,A143,A153,2,A173
2,24,A32,A40,1285,4,32,A143,A151,1,A173
1,6,A34,A40,1299,1,74,A143,A152,3,A171
2,15,A34,A43,1271,3,39,A143,A153,2,A173
1,24,A32,A40,1393,2,31,A143,A152,1,A173
2,12,A34,A40,691,4,35,A143,A152,2,A173
1,15,A34,A40,5045,1,59,A143,A152,1,A173
2,18,A34,A42,2124,4,24,A143,A151,2,A173
1,12,A32,A43,2214,4,24,A143,A152,1,A172
2,21,A34,A40,12680,4,30,A143,A153,1,A174
1,24,A34,A40,2463,4,27,A143,A152,2,A173
1,12,A32,A43,1155,3,40,A141,A152,2,A172
2,30,A32,A42,3108,2,31,A143,A152,1,A172
1,10,A32,A41,2901,1,31,A143,A151,1,A173
1,12,A34,A42,3617,1,28,A143,A151,3,A173
1,12,A34,A43,1655,2,63,A143,A152,2,A172
1,24,A32,A41,2812,2,26,A143,A151,1,A173
2,36,A34,A46,8065,3,25,A143,A152,2,A174
1,21,A34,A41,3275,1,36,A143,A152,1,A174
1,24,A34,A43,2223,4,52,A141,A152,2,A173
1,12,A34,A40,1480,2,66,A141,A153,3,A171
2,24,A32,A40,1371,4,25,A143,A151,1,A173
1,36,A34,A40,3535,4,37,A143,A152,2,A173
1,18,A32,A43,3509,4,25,A143,A152,1,A173
1,36,A34,A41,5711,4,38,A143,A152,2,A174
1,18,A32,A45,3872,2,67,A143,A152,1,A173
2,39,A34,A43,4933,2,25,A143,A152,2,A173
1,24,A34,A40,1940,4,60,A143,A152,1,A173
1,12,A30,A48,1410,2,31,A143,A152,1,A172
2,12,A32,A40,836,4,23,A141,A152,1,A172
1,20,A32,A41,6468,1,60,A143,A152,1,A174
1,18,A32,A49,1941,4,35,A143,A152,1,A172
1,22,A32,A43,2675,3,40,A143,A152,1,A173
1,48,A34,A41,2751,4,38,A143,A152,2,A173
2,48,A33,A46,6224,4,50,A143,A153,1,A173
2,40,A34,A46,5998,4,27,A141,A152,1,A173
2,21,A32,A49,1188,2,39,A143,A152,1,A173
1,24,A32,A41,6313,3,41,A143,A152,1,A174
1,6,A34,A42,1221,1,27,A143,A152,2,A173
1,24,A32,A42,2892,3,51,A143,A153,1,A173
1,24,A32,A42,3062,4,32,A143,A151,1,A173
1,9,A32,A42,2301,2,22,A143,A151,1,A173
2,18,A32,A41,7511,1,51,A143,A153,1,A173
1,12,A34,A42,1258,2,22,A143,A151,2,A172
1,24,A33,A40,717,4,54,A143,A152,2,A173
1,9,A32,A40,1549,4,35,A143,A152,1,A171
1,24,A34,A46,1597,4,54,A143,A153,2,A173
1,18,A34,A43,1795,3,48,A141,A151,2,A172
1,20,A34,A42,4272,1,24,A143,A152,2,A173
1,12,A34,A43,976,4,35,A143,A152,2,A173
1,12,A32,A40,7472,1,24,A143,A151,1,A171
2,36,A32,A40,9271,2,24,A143,A152,1,A173
1,6,A32,A43,590,3,26,A143,A152,1,A172
1,12,A34,A43,930,4,65,A143,A152,4,A173
1,42,A31,A41,9283,1,55,A141,A153,1,A174
2,15,A30,A40,1778,2,26,A143,A151,2,A171
1,8,A32,A49,907,3,26,A143,A152,1,A173
1,6,A32,A43,484,3,28,A141,A152,1,A172
2,36,A34,A41,9629,4,24,A143,A152,2,A173
2,48,A32,A44,3051,3,54,A143,A152,1,A173
2,48,A32,A40,3931,4,46,A143,A153,1,A173
1,36,A33,A40,7432,2,54,A143,A151,1,A173
1,6,A32,A44,1338,1,62,A143,A152,1,A173
1,6,A34,A43,1554,1,24,A143,A151,2,A173
1,36,A32,A410,15857,2,43,A143,A152,1,A174
2,18,A32,A43,1345,4,26,A141,A152,1,A173
1,12,A32,A40,1101,3,27,A143,A152,2,A173
1,12,A32,A43,3016,3,24,A143,A152,1,A173
2,36,A32,A42,2712,2,41,A141,A152,1,A173
1,8,A34,A40,731,4,47,A143,A152,2,A172
1,18,A34,A42,3780,3,35,A143,A152,2,A174
1,21,A34,A40,1602,4,30,A143,A152,2,A173
2,18,A34,A40,3966,1,33,A141,A151,3,A173
2,18,A30,A49,4165,2,36,A142,A152,2,A173
2,36,A32,A41,8335,3,47,A143,A153,1,A173
1,48,A33,A49,6681,4,38,A143,A153,1,A173
1,24,A33,A49,2375,4,44,A143,A152,2,A173
2,18,A32,A40,1216,4,23,A143,A151,1,A173
2,45,A30,A49,11816,2,29,A143,A151,2,A173
1,24,A32,A43,5084,2,42,A143,A152,1,A173
2,15,A32,A43,2327,2,25,A143,A152,1,A172
2,12,A30,A40,1082,4,48,A141,A152,2,A173
1,12,A32,A43,886,4,21,A143,A152,1,A173
1,4,A32,A42,601,1,23,A143,A151,1,A172
1,24,A34,A41,2957,4,63,A143,A152,2,A173
1,24,A34,A43,2611,4,46,A143,A152,2,A173
2,36,A32,A42,5179,4,29,A143,A152,1,A173
1,21,A33,A41,2993,3,28,A142,A152,2,A172
2,18,A32,A45,1943,4,23,A143,A152,1,A173
1,24,A31,A49,1559,4,50,A141,A152,1,A173
1,18,A32,A42,3422,4,47,A141,A152,3,A173
1,21,A32,A42,3976,2,35,A143,A152,1,A173
2,18,A32,A40,6761,2,68,A143,A151,2,A173
1,24,A32,A40,1249,4,28,A143,A152,1,A173
1,9,A32,A43,1364,3,59,A143,A152,1,A173
2,12,A32,A43,709,4,57,A142,A152,1,A172
2,20,A34,A40,2235,4,33,A141,A151,2,A173
1,24,A34,A41,4042,3,43,A143,A152,2,A173
1,15,A34,A43,1471,4,35,A143,A153,2,A173
2,18,A31,A40,1442,4,32,A143,A153,2,A172
1,36,A33,A40,10875,2,45,A143,A152,2,A173
1,24,A32,A40,1474,4,33,A143,A152,1,A173
1,10,A32,A48,894,4,40,A143,A152,1,A173
1,15,A34,A42,3343,4,28,A143,A153,1,A173
2,15,A32,A40,3959,3,29,A143,A152,1,A173
1,9,A32,A40,3577,1,26,A143,A151,1,A173
1,24,A34,A41,5804,4,27,A143,A152,2,A173
2,18,A33,A49,2169,4,28,A143,A152,1,A173
2,24,A32,A43,2439,4,35,A143,A152,1,A173
1,27,A34,A42,4526,4,32,A142,A152,2,A172
2,10,A32,A42,2210,2,25,A141,A151,1,A172
1,15,A32,A42,2221,2,20,A143,A151,1,A173
1,18,A32,A43,2389,4,27,A142,A152,1,A173
1,12,A34,A42,3331,2,42,A142,A152,1,A173
1,36,A32,A49,7409,3,37,A143,A152,2,A173
1,12,A32,A42,652,4,24,A143,A151,1,A173
1,36,A33,A42,7678,2,40,A143,A152,2,A173
1,6,A34,A40,1343,1,46,A143,A152,2,A173
1,24,A34,A49,1382,4,26,A143,A152,2,A173
1,15,A32,A44,874,4,24,A143,A152,1,A173
1,12,A32,A42,3590,2,29,A143,A152,1,A172
1,11,A34,A40,1322,4,40,A143,A152,2,A173
1,18,A31,A43,1940,3,36,A141,A153,1,A174
1,36,A32,A43,3595,4,28,A143,A152,1,A173
2,9,A32,A40,1422,3,27,A143,A153,1,A174
1,30,A34,A43,6742,2,36,A143,A152,2,A173
1,24,A32,A41,7814,3,38,A143,A152,1,A174
1,24,A32,A41,9277,2,48,A143,A153,1,A173
1,30,A34,A40,2181,4,36,A143,A152,2,A173
1,18,A34,A43,1098,4,65,A143,A152,2,A171
2,24,A32,A42,4057,3,43,A143,A152,1,A173
2,12,A32,A46,795,4,53,A143,A152,1,A173
1,24,A34,A49,2825,4,34,A143,A152,2,A173
2,48,A32,A49,15672,2,23,A143,A152,1,A173
1,36,A34,A40,6614,4,34,A143,A152,2,A174
1,28,A31,A41,7824,3,40,A141,A151,2,A173
1,27,A34,A49,2442,4,43,A142,A152,4,A174
1,15,A34,A43,1829,4,46,A143,A152,2,A173
1,12,A34,A40,2171,4,38,A141,A152,2,A172
1,36,A34,A41,5800,3,34,A143,A152,2,A173
1,18,A34,A43,1169,4,29,A143,A152,2,A173
1,36,A33,A41,8947,3,31,A142,A152,1,A174
1,21,A32,A43,2606,4,28,A143,A151,1,A174
1,12,A34,A42,1592,3,35,A143,A152,1,A173
1,15,A32,A42,2186,1,33,A141,A151,1,A172
2,18,A32,A42,4153,2,42,A143,A152,1,A173
2,16,A34,A40,2625,2,43,A141,A151,1,A173
1,20,A34,A40,3485,2,44,A143,A152,2,A173
1,36,A34,A41,10477,2,42,A143,A153,2,A173
1,15,A32,A43,1386,4,40,A143,A151,1,A173
1,24,A32,A43,1278,4,36,A143,A152,1,A174
1,12,A32,A43,1107,2,20,A143,A151,1,A174
1,21,A32,A40,3763,2,24,A143,A152,1,A172
1,36,A32,A46,3711,2,27,A143,A152,1,A173
1,15,A33,A41,3594,1,46,A143,A152,2,A172
1,9,A32,A40,3195,1,33,A143,A152,1,A172
1,36,A33,A43,4454,4,34,A143,A152,2,A173
2,24,A34,A42,4736,2,25,A141,A152,1,A172
1,30,A32,A43,2991,2,25,A143,A152,1,A173
1,11,A32,A49,2142,1,28,A143,A152,1,A173
2,24,A31,A49,3161,4,31,A143,A151,1,A173
2,48,A30,A410,18424,1,32,A141,A152,1,A174
1,10,A32,A41,2848,1,32,A143,A152,1,A173
2,6,A32,A40,14896,1,68,A141,A152,1,A174
2,24,A32,A42,2359,1,33,A143,A152,1,A173
2,24,A32,A42,3345,4,39,A143,A151,1,A174
1,18,A34,A42,1817,4,28,A143,A152,2,A173
1,48,A33,A43,12749,4,37,A143,A152,1,A174
2,9,A32,A43,1366,3,22,A143,A151,1,A173
1,12,A32,A40,2002,3,30,A143,A151,1,A173
2,24,A31,A42,6872,2,55,A141,A152,1,A173
2,12,A31,A40,697,4,46,A141,A152,2,A173
1,18,A34,A42,1049,4,21,A143,A151,1,A173
2,48,A32,A41,10297,4,39,A142,A153,3,A173
1,30,A32,A43,1867,4,58,A143,A152,1,A173
1,12,A33,A40,1344,4,43,A143,A152,2,A172
1,24,A32,A42,1747,4,24,A143,A152,1,A172
2,9,A32,A43,1670,4,22,A143,A152,1,A173
1,9,A34,A40,1224,3,30,A143,A152,2,A173
1,12,A34,A43,522,4,42,A143,A152,2,A173
1,12,A32,A43,1498,4,23,A141,A152,1,A173
2,30,A33,A43,1919,4,30,A142,A152,2,A174
2,9,A32,A43,745,3,28,A143,A152,1,A172
1,6,A32,A43,2063,4,30,A143,A151,1,A174
2,60,A32,A46,6288,4,42,A143,A153,1,A173
1,24,A34,A41,6842,2,46,A143,A152,2,A174
1,12,A32,A40,3527,2,45,A143,A152,1,A174
1,10,A32,A40,1546,3,31,A143,A152,1,A172
1,24,A32,A42,929,4,31,A142,A152,1,A173
1,4,A34,A40,1455,2,42,A143,A152,3,A172
1,15,A32,A42,1845,4,46,A143,A151,1,A173
1,48,A30,A40,8358,1,30,A143,A152,2,A173
2,24,A31,A42,3349,4,30,A143,A153,1,A173
1,12,A32,A40,2859,4,38,A143,A152,1,A174
2,18,A32,A42,1533,4,43,A143,A152,1,A172
2,24,A32,A43,3621,2,31,A143,A152,2,A173
1,18,A34,A49,3590,3,40,A143,A152,3,A171
2,36,A33,A49,2145,2,24,A143,A152,2,A173
2,24,A32,A41,4113,3,28,A143,A151,1,A173
2,36,A32,A42,10974,4,26,A143,A152,2,A174
1,12,A32,A40,1893,4,29,A143,A152,1,A173
1,24,A34,A43,1231,4,57,A143,A151,2,A174
1,30,A34,A43,3656,4,49,A142,A152,2,A172
1,9,A34,A43,1154,2,37,A143,A152,3,A172
2,28,A32,A40,4006,3,45,A143,A152,1,A172
1,24,A32,A42,3069,4,30,A143,A153,1,A173
1,6,A34,A43,1740,2,30,A143,A151,2,A173
1,21,A33,A40,2353,1,47,A143,A152,2,A173
1,15,A32,A40,3556,3,29,A143,A152,1,A173
2,24,A32,A43,2397,3,35,A141,A152,2,A173
1,6,A32,A45,454,3,22,A143,A152,1,A172
1,30,A32,A43,1715,4,26,A143,A152,1,A173
2,27,A34,A43,2520,4,23,A143,A152,2,A172
1,15,A32,A43,3568,4,54,A141,A151,1,A174
1,42,A32,A43,7166,2,29,A143,A151,1,A173
1,11,A34,A40,3939,1,40,A143,A152,2,A172
1,15,A32,A45,1514,4,22,A143,A152,1,A173
1,24,A32,A40,7393,1,43,A143,A152,1,A172
2,24,A31,A40,1193,1,29,A143,A151,2,A171
2,60,A32,A49,7297,4,36,A143,A151,1,A173
1,30,A34,A43,2831,4,33,A143,A152,1,A173
1,24,A32,A43,1258,3,57,A143,A152,1,A172
1,6,A32,A43,753,2,64,A143,A152,1,A173
1,18,A33,A49,2427,4,42,A143,A152,2,A173
2,24,A33,A40,2538,4,47,A143,A152,2,A172
2,15,A31,A40,1264,2,25,A143,A151,1,A173
2,30,A34,A42,8386,2,49,A143,A152,1,A173
2,48,A32,A49,4844,3,33,A141,A151,1,A174
1,21,A32,A40,2923,1,28,A141,A152,1,A174
2,36,A32,A41,8229,2,26,A143,A152,1,A173
1,24,A34,A42,2028,2,30,A143,A152,2,A172
1,15,A34,A42,1433,4,25,A143,A151,2,A173
1,42,A30,A49,6289,2,33,A143,A152,2,A173
1,13,A32,A43,1409,2,64,A143,A152,1,A173
1,24,A32,A41,6579,4,29,A143,A153,1,A174
1,24,A34,A43,1743,4,48,A143,A152,2,A172
1,12,A34,A46,3565,2,37,A143,A152,2,A172
1,15,A31,A43,1569,4,34,A141,A152,1,A172
1,18,A32,A43,1936,2,23,A143,A151,2,A172
1,36,A32,A42,3959,4,30,A143,A152,1,A174
1,12,A32,A40,2390,4,50,A143,A152,1,A173
1,12,A32,A42,1736,3,31,A143,A152,1,A172
1,30,A32,A41,3857,4,40,A143,A152,1,A174
1,12,A32,A43,804,4,38,A143,A152,1,A173
2,45,A32,A43,1845,4,23,A143,A153,1,A173
1,45,A34,A41,4576,3,27,A143,A152,1,A173
